p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	absLogFC
1.49178563359566e-23	0.637111681380554	0.458	0.017	3.22076518293303e-19	D1	SLC3A1	0.637111681380554
2.60777365293424e-19	1.3287123575727	0.875	0.153	5.63018331668502e-15	D1	DEFB1	1.3287123575727
8.39019060898553e-17	3.12509634474843	0.833	0.188	1.81144215247997e-12	D1	CXCL2	3.12509634474843
1.99409375546967e-15	1.83691502493446	0.958	0.329	4.30524841805902e-11	D1	RDH10	1.83691502493446
3.61753626704658e-15	1.51687614186149	0.958	0.28	7.81026080055357e-11	D1	RCAN1	1.51687614186149
4.8191066398171e-15	0.268484500336429	0.292	0.012	1.04044512353651e-10	D1	CNGA1	0.268484500336429
2.24374720133043e-14	0.87724362717938	0.625	0.101	4.8442502076724e-10	D1	ROBO1	0.87724362717938
1.61859343225222e-12	0.473221285388275	0.583	0.092	3.49454322023253e-08	D1	KIT	0.473221285388275
2.26237065441374e-12	0.383099823103634	0.417	0.046	4.88445824287927e-08	D1	ATP13A5	0.383099823103634
5.32963843657305e-12	1.27916109804512	1	0.436	1.15066893845612e-07	D1	CEACAM6	1.27916109804512
4.30338795949592e-11	0.434834776757323	0.5	0.078	9.2910146045517e-07	D1	WNT4	0.434834776757323
9.97989297095109e-11	0.607336606413263	0.792	0.228	2.15465889242834e-06	D1	PADI2	0.607336606413263
1.61696075575175e-10	0.354527746409818	0.417	0.058	3.49101827166804e-06	D1	FAM81B	0.354527746409818
4.32309157936641e-10	1.11109719559008	0.917	0.384	9.33355471985207e-06	D1	SULF1	1.11109719559008
1.03898646997039e-09	1.26568325251878	0.875	0.488	2.24317178866607e-05	D1	EPAS1	1.26568325251878
2.5657931256931e-09	0.683904518794052	0.583	0.142	5.53954735837141e-05	D1	ID4	0.683904518794052
3.68508373199998e-09	0.561440346347282	0.417	0.069	7.95609577738795e-05	D1	DAPL1	0.561440346347282
4.48999686754822e-09	1.1573478917983	0.542	0.124	9.6939032370366e-05	D1	RARRES1	1.1573478917983
5.93821470381774e-09	0.355095638056775	0.292	0.032	0.000128206055455425	D1	SCGN	0.355095638056775
6.12919066120769e-09	1.07754096221797	0.292	0.032	0.000132329226375474	D1	CCL28	1.07754096221797
1.0120098833406e-08	0.968506200104854	0.917	0.526	0.000218492933813235	D1	SLC25A37	0.968506200104854
1.7037787999692e-08	0.526552290031314	0.708	0.211	0.000367845842913351	D1	NCALD	0.526552290031314
1.8950903775337e-08	0.911018679765989	0.708	0.211	0.000409150012509526	D1	C8orf34	0.911018679765989
1.91279814055998e-08	0.552545327694655	0.75	0.237	0.000412973118546899	D1	JAG1	0.552545327694655
1.98566979328666e-08	0.279185125263648	0.5	0.101	0.000428706108370589	D1	SNCAIP	0.279185125263648
3.50305563169979e-08	2.73361300900973	0.75	0.272	0.000756309710883985	D1	S100A9	2.73361300900973
3.72880022213616e-08	0.323984058513808	0.375	0.058	0.000805047967959196	D1	ORM2	0.323984058513808
4.33602552106597e-08	1.02444180733225	0.625	0.185	0.000936147909998142	D1	PIGR	1.02444180733225
4.49189212283065e-08	0.261220126984295	0.458	0.092	0.000969799509319137	D1	PODXL	0.261220126984295
5.98634025710498e-08	0.447683254103072	0.625	0.182	0.00129245086150897	D1	ELF5	0.447683254103072
