label,logFC,P.Value,adj.P.Val,AveExpr,t,B,absLogFC,log10Pvalue,log10Padj
A1BG,-0.008390005,0.966133682,0.993219603,6.021282338,-0.042457945,-5.745956425,0.008390005,0.014962777,0.002954717
A1CF,-0.045986415,0.791084035,0.963639105,5.768937481,-0.264903577,-5.832460269,0.045986415,0.10177738,0.016085584
A2M,0.108542062,0.505573043,0.882319914,5.715281364,0.665747948,-5.716816942,0.108542062,0.296216091,0.054373919
A2ML1,0.082226238,0.575699973,0.905549972,5.629576833,0.55967769,-5.872756935,0.082226238,0.239803791,0.043087578
A3GALT2,0.228195341,0.155733499,0.693679602,5.689774564,1.419573688,-4.997377675,0.228195341,0.807617958,0.158841076
A4GALT,-0.079995425,0.637252036,0.92226019,5.747517784,-0.47154515,-5.783256259,0.079995425,0.195688768,0.035146538
A4GNT,0.238885085,0.137992474,0.67313368,5.691433478,1.48331482,-4.909723447,0.238885085,0.860144599,0.171898679
AAAS,-0.079892158,0.68412005,0.937302683,6.129547118,-0.406848063,-5.677846447,0.079892158,0.164867681,0.02812014
AACS,0.196953584,0.310541841,0.806948852,5.992557241,1.014088496,-5.297985502,0.196953584,0.507879877,0.093153992
AADAC,0.214918146,0.234317587,0.753893122,5.839856171,1.189314135,-5.180772057,0.214918146,0.630195114,0.122690219
AADACL2,0.190410568,0.184923943,0.708097475,5.557447399,1.325750599,-5.211581621,0.190410568,0.733006856,0.149906954
AADACL3,-0.145536197,0.455675213,0.858782454,5.97155663,-0.745988646,-5.507235461,0.145536197,0.341344595,0.066116837
AADACL4,0.055449641,0.734292124,0.950077866,5.717631423,0.33942214,-5.86745153,0.055449641,0.13413113,0.0222408
AADAT,0.075160379,0.673640152,0.933559184,5.796413935,0.42115806,-5.758056562,0.075160379,0.171572035,0.029858144
AAGAB,-0.040151183,0.832137921,0.967314368,6.248477323,-0.211960706,-5.764592224,0.040151183,0.079804686,0.014432361
AAK1,-0.182647057,0.33808236,0.822940092,5.910011807,-0.957963588,-5.363221247,0.182647057,0.470977489,0.084631779
AAMDC,0.127491145,0.516311702,0.884327732,6.070672093,0.649042503,-5.562346128,0.127491145,0.287088032,0.053386755
AAMP,-0.298712708,0.062310558,0.536301515,6.5143079,-1.864090545,-4.319734778,0.298712708,1.205438361,0.270590976
AANAT,0.066337934,0.675674023,0.934436744,5.692815202,0.418374207,-5.867110299,0.066337934,0.170262778,0.029450093
AAR2,0.080176346,0.68451468,0.937414592,6.046327999,0.40631085,-5.673726556,0.080176346,0.164617234,0.028068291
AARD,0.278098282,0.08266234,0.579314146,5.670789902,1.735452483,-4.535502751,0.278098282,1.082692303,0.237085866
AARS1,-0.244736025,0.206575673,0.728600715,6.079594464,-1.263041971,-5.043763598,0.244736025,0.684920823,0.137510407
AARS2,0.280185402,0.136216642,0.670637809,5.93158048,1.490035305,-4.782958519,0.280185402,0.865769831,0.173511966
AARSD1,-0.307071934,0.107845806,0.619787268,5.973504313,-1.607959194,-4.606310095,0.307071934,0.967196738,0.20775735
AASDH,0.056184485,0.754065326,0.957617332,5.801479939,0.313283906,-5.789912985,0.056184485,0.122591029,0.018808002
AASDHPPT,-0.064955214,0.741660322,0.953318697,6.105214928,-0.329655935,-5.70042448,0.064955214,0.129794954,0.020761889
AASS,0.110127617,0.564309813,0.903260132,5.90119846,0.576452869,-5.626745007,0.110127617,0.248482398,0.044187158
AATF,-0.136996562,0.485379012,0.872153854,6.019375494,-0.697678713,-5.533135606,0.136996562,0.313919006,0.059406896
AATK,0.059902278,0.716511352,0.945323559,5.726361086,0.363125762,-5.850755333,0.059902278,0.144776925,0.024419519
ABAT,0.114574431,0.517472557,0.884327732,5.793702779,0.647247518,-5.654501079,0.114574431,0.286112677,0.053386755
ABCA1,0.186594763,0.334786152,0.821477522,5.979658023,0.964520764,-5.345492705,0.186594763,0.475232514,0.085404316
ABCA10,-0.091179604,0.557444966,0.900328574,5.68026878,-0.586641869,-5.806436212,0.091179604,0.253798002,0.045598966
ABCA12,-0.419273404,0.017486218,0.37264417,5.857604238,-2.376342673,-3.25593417,0.419273404,1.757304108,0.428705669
ABCA13,-0.093437107,0.613624302,0.915374534,5.843097024,-0.504907642,-5.690043034,0.093437107,0.212097449,0.038401174
ABCA2,0.034604943,0.861107793,0.974534966,6.057321765,0.174964404,-5.732195137,0.034604943,0.06494248,0.011202574
ABCA3,-0.120705343,0.531598186,0.888563812,6.195647585,-0.625569389,-5.5913343,0.120705343,0.274416509,0.051311378
ABCA4,-0.085994872,0.658955538,0.930216653,5.952037611,-0.441356365,-5.671560207,0.085994872,0.181143888,0.03141589
ABCA5,-0.054911315,0.764581073,0.958443684,5.828613652,-0.299470942,-5.773670463,0.054911315,0.116576457,0.0184334
ABCA6,0.135172381,0.386435851,0.839557416,5.673358242,0.86610107,-5.612812435,0.135172381,0.41292259,0.075949598
ABCA7,0.323761828,0.061624628,0.534368658,5.796109421,1.868998206,-4.257463645,0.323761828,1.21024569,0.272159023
ABCA8,0.201514159,0.26191557,0.769293693,5.829879129,1.121878442,-5.25700947,0.201514159,0.581838683,0.113907828
ABCA9,0.364577556,0.036182366,0.466595659,5.812343318,2.094887185,-3.842169405,0.364577556,1.44150304,0.331059306
ABCB1,0.226371783,0.181383582,0.708097475,5.753561419,1.336512081,-5.061721318,0.226371783,0.741402025,0.149906954
